customer_id,transaction_id,transaction_date,product_category,amount,quantity,region,age,gender
1,1001,2024-11-12,Clothing,175.86,3,West,39,Female
1,1002,2024-04-22,Home & Garden,355.50,2,West,39,Female
1,1003,2024-01-02,Clothing,418.83,3,West,39,Female
1,1004,2024-01-12,Home & Garden,77.95,5,West,39,Female
1,1005,2024-07-12,Clothing,41.78,1,West,39,Female
1,1006,2024-10-22,Electronics,170.49,1,West,39,Female
2,1007,2024-03-17,Groceries,160.95,3,South,39,Male
2,1008,2024-03-15,Clothing,694.04,4,South,39,Male
2,1009,2024-09-05,Clothing,39.32,2,South,39,Male
3,1010,2024-01-06,Home & Garden,155.55,5,West,62,Male
3,1011,2024-01-29,Home & Garden,374.70,3,West,62,Male
3,1012,2024-03-06,Beauty,298.55,5,West,62,Male
3,1013,2024-07-24,Groceries,145.00,5,West,62,Male
3,1014,2024-08-05,Sports,355.02,3,West,62,Male
3,1015,2024-11-03,Clothing,249.80,4,West,62,Male
3,1016,2024-07-18,Beauty,897.15,5,West,62,Male
4,1017,2024-10-27,Beauty,117.40,5,South,22,Female
4,1018,2024-09-12,Electronics,198.55,5,South,22,Female
4,1019,2024-05-02,Clothing,112.95,3,South,22,Female
4,1020,2024-10-16,Clothing,713.32,4,South,22,Female
5,1021,2024-11-27,Electronics,519.52,4,South,24,Female
5,1022,2024-01-18,Clothing,400.72,4,South,24,Female
5,1023,2024-05-03,Beauty,249.12,4,South,24,Female
5,1024,2024-12-27,Electronics,399.14,2,South,24,Female
6,1025,2024-05-25,Home & Garden,260.07,3,North,26,Female
6,1026,2024-08-11,Home & Garden,347.50,5,North,26,Female
6,1027,2024-04-19,Groceries,153.99,3,North,26,Female
6,1028,2024-09-10,Clothing,192.68,4,North,26,Female
7,1029,2024-09-17,Groceries,198.76,2,South,23,Male
7,1030,2024-11-12,Sports,455.75,5,South,23,Male
7,1031,2024-02-23,Groceries,902.25,5,South,23,Male
8,1032,2024-11-03,Groceries,509.30,5,West,56,Male
8,1033,2024-07-04,Beauty,18.17,1,West,56,Male
8,1034,2024-08-18,Beauty,799.28,4,West,56,Male
8,1035,2024-06-12,Sports,611.75,5,West,56,Male
